created:2024-05-31 10:34:30 UTC
ephemeris_start:2024-05-31 09:15:42 UTC ephemeris_stop:2024-06-03 09:15:42 UTC step_size:60
ephemeris_source:blend
UVW
2024152091542.000 -5911.2550086784 -2099.2428740428 -2230.7178035924 0.4759420334 -6.2130752586 4.5895330470
8.6930709364e-07 -4.0067611956e-07 8.3259930386e-07 -1.8749697172e-10 2.8297391405e-10 1.1269452352e-06 1.4769699845e-09
-9.6632105444e-10 -9.6868271847e-13 3.0641009242e-12 -4.9233144223e-10 4.1455844156e-10 1.3328407369e-12 -8.7295825868e-13
5.6246590520e-13 -7.1735482731e-14 -1.1983024187e-12 1.5054071935e-09 1.1312732124e-15 2.9775532841e-15 5.5025320089e-12
2024152091642.000 -5868.3449097945 -2466.6196197310 -1950.1278617172 0.9538331506 -6.0278356663 4.7596586886
9.9788009371e-07 -5.0410591610e-07 9.5413064341e-07 -1.8095742908e-10 4.3658342934e-10 1.3213390381e-06 1.7131859037e-09
-1.1768034400e-09 -1.0467445021e-12 3.5219180722e-12 -5.8337901618e-10 4.9598944552e-10 1.5259819320e-12 -1.0450758715e-12
6.4275028107e-13 2.7448014533e-13 -8.5198034521e-13 1.7294608453e-09 1.5885357308e-15 3.6640787937e-15 5.2684129706e-12
2024152091742.000 -5796.8856886153 -2821.9956781108 -1660.0225863516 1.4271919533 -5.8132221540 4.9065903919
1.1407026597e-06 -6.2750963330e-07 1.1025572181e-06 -1.3907315947e-10 6.1579420199e-10 1.5407390571e-06 1.9777457978e-09
-1.4277853754e-09 -1.0652964443e-12 4.0357063657e-12 -6.8609160290e-10 5.9677645445e-10 1.8255409268e-12 -1.2372859401e-12
7.8767275996e-13 7.5365037986e-13 -4.1388903277e-13 1.9215657128e-09 2.4274450905e-15 6.4509077154e-15 5.0004650999e-12
2024152091842.000 -5697.2188161318 -3163.6394013132 -1361.8156330447 1.8937049430 -5.5702731383 5.0295998183
1.2983530248e-06 -7.7311054695e-07 1.2836897399e-06 -4.4567106140e-11 8.4292323402e-10 1.7810859211e-06 2.2727651365e-09
-1.7241856801e-09 -9.6250026376e-13 4.6126685342e-12 -7.9982605834e-10 7.2580323816e-10 2.5022580611e-12 -1.4430595101e-12
1.0425816292e-12 1.4323670585e-12 3.7498775939e-13 2.0779886378e-09 4.0416063524e-15 1.3319999311e-14 4.7042662127e-12
2024152091942.000 -5569.8237031502 -3489.8851687227 -1056.9613335099 2.3510892555 -5.3001646123 5.1280770932
1.4713895315e-06 -9.4290529412e-07 1.5048911166e-06 1.3282029513e-10 1.1776601680e-09 2.0379071058e-06 2.6007362634e-09
-2.0700924216e-09 -6.1086587123e-13 5.2619304233e-12 -9.2216800965e-10 8.9567331442e-10 4.0006121658e-12 -1.6509922576e-12
1.4503115219e-12 2.4533482767e-12 1.9461300186e-12 2.1956937344e-09 7.0618386831e-15 2.6295882642e-14 4.3859697706e-12
2024152092042.000 -5415.3154579431 -3799.1421128791 -746.9468561006 2.7971078792 -5.0042081265 5.2015345091
1.6604623763e-06 -1.1383451555e-06 1.7754845158e-06 4.5109245337e-10 1.7398989200e-09 2.3064123242e-06 2.9648738233e-09
-2.4682611937e-09 2.0703519194e-13 5.9954570389e-12 -1.0483052843e-09 1.1220912364e-09 6.9345080861e-12 -1.8448831341e-12
2.0488826820e-12 4.0661454434e-12 4.8931799211e-12 2.2724100794e-09 1.2359904313e-14 4.7306019039e-14 4.0521705977e-12
2024152092142.000 -5234.4417204203 -4089.9018327245 -433.2850268363 3.2295799116 -4.6838395476 5.2496042536
1.8665336280e-06 -1.3599485154e-06 2.1069634566e-06 1.0140346969e-09 2.7253721354e-09 2.5815869559e-06 3.3696463291e-09
-2.9195870477e-09 1.8297237769e-12 6.8290095180e-12 -1.1704813244e-09 1.4229474233e-09 1.2065360429e-11 -2.0039946462e-12
2.8694208801e-12 6.6585879742e-12 9.9415938838e-12 2.3066758479e-09 2.1050376314e-14 7.8056111910e-14 3.7097725763e-12
2024152092242.000 -5028.0792198847 -4360.7457168623 -117.5070853611 3.6463863777 -4.3406170899 5.2720411913
2.0912283066e-06 -1.6068660032e-06 2.5130261768e-06 1.9941546238e-09 4.4166484439e-09 2.8582910423e-06 3.8214788383e-09
-3.4226541042e-09 4.7486545349e-12 7.7832649074e-12 -1.2776342469e-09 1.8171501038e-09 2.0267780645e-11 -2.1035113393e-12
3.9341866961e-12 1.0781854216e-11 1.7903004159e-11 2.2978670875e-09 3.4480401427e-14 1.1990380558e-13 3.3658478119e-12
2024152092342.000 -4797.2296083589 -4610.3522134551 198.8448197704 4.0454832403 -3.9762146869 5.2687275747
2.3373424796e-06 -1.8764413827e-06 3.0093953290e-06 3.6595173996e-09 7.1869183088e-09 3.1313607181e-06 4.3296435049e-09
-3.9733918400e-09 9.6406393426e-12 8.8851169518e-12 -1.3552661174e-09 2.3232516354e-09 3.2482496904e-11 -2.1152252194e-12
5.2548746315e-12 1.7166638953e-11 2.9615214183e-11 2.2462093797e-09 5.4207319562e-14 1.7374110729e-13 3.0274920858e-12
2024152092442.000 -4543.0146213295 -4837.5033828044 514.2253452687 4.4249137914 -3.5924107860 5.2396741248
2.6095288826e-06 -2.1638184636e-06 3.6134051534e-06 6.4032916891e-09 1.1494681060e-08 3.3957100065e-06 4.9073505927e-09
-4.5648815247e-09 1.7399766280e-11 1.0169187842e-11 -1.3855868811e-09 2.9579390524e-09 4.9657650953e-11 -2.0084707992e-12
6.8313127801e-12 2.6727627412e-11 4.5870610431e-11 2.1527721386e-09 8.1963193749e-14 2.3989373891e-13 2.7016799270e-12
2024152092542.000 -4266.6705943184 -5041.0909157654 827.0935675967 4.7828158813 -3.1910803444 5.1850175667
2.9151745944e-06 -2.4616514090e-06 4.3433551730e-06 1.0773942612e-08 1.7867903961e-08 3.6464309020e-06 5.5730513268e-09
-5.1873615977e-09 2.9166528342e-11 1.1679582101e-11 -1.3479676819e-09 3.7344774306e-09 7.2680966859e-11 -1.7513241512e-12
8.6506869468e-12 4.0553752351e-11 6.7337385506e-11 2.0194457104e-09 1.1960560310e-13 3.1804687743e-13 2.3951227713e-12
2024152092642.000 -3969.5425161221 -5220.1217177017 1135.9206082028 5.1174319443 -2.7741873327 5.1050229720
3.2654779770e-06 -2.7599807575e-06 5.2176496580e-06 1.7505167739e-08 2.6876997944e-08 3.8788896974e-06 6.3519616973e-09
-5.8284852584e-09 4.6354766610e-11 1.3471915199e-11 -1.2197259346e-09 4.6612096371e-09 1.0230608345e-10 -1.3120718164e-12
1.0687386794e-11 5.9883498272e-11 9.4478965977e-11 1.8489018202e-09 1.6905631757e-13 4.0720340840e-13 2.1141333502e-12
2024152092742.000 -3653.0773784800 -5373.7229477425 1439.1973444582 5.4271214793 -2.3437740790 5.0000834610
3.6767240438e-06 -3.0463397803e-06 6.2537640585e-06 2.7542780764e-08 3.9096397880e-08 4.0888176135e-06 7.2778136353e-09
-6.4738871259e-09 7.0673370968e-11 1.5615651045e-11 -9.7724975063e-10 5.7402249780e-09 1.3907697291e-10 -6.6094778905e-13
